2019-06-07 15:17:46.674973+02,6,177,DR
2019-06-07 15:17:48.647382+02,6,108,DR
2019-06-07 15:17:50.620091+02,6,129,DR
2019-06-07 15:17:52.588468+02,6,180,DR
2019-06-07 15:17:54.559379+02,6,128,DR
2019-06-07 15:17:56.532618+02,6,160,DR
2019-06-07 15:17:58.503221+02,6,105,DR
2019-06-07 15:18:00.475555+02,6,147,DR
2019-06-07 15:18:02.442979+02,6,141,DR
2019-06-07 15:18:04.416786+02,6,139,DR
2019-06-07 15:18:06.38743+02,6,163,DR
2019-06-07 15:18:08.357687+02,6,79,DR
2019-06-07 15:18:10.333296+02,6,159,DR
2019-06-07 15:18:12.298614+02,6,127,DR
2019-06-07 15:18:14.267974+02,6,160,DR
2019-06-07 15:18:16.243564+02,6,95,DR
2019-06-07 15:18:18.222129+02,6,153,DR
2019-06-07 15:18:20.18184+02,6,119,DR
2019-06-07 15:18:22.152786+02,6,158,DR
2019-06-07 15:18:24.124599+02,6,78,DR
2019-06-07 15:18:26.097198+02,6,178,DR
2019-06-07 15:18:28.066224+02,6,123,DR
2019-06-07 15:18:30.037554+02,6,147,DR
2019-06-07 15:18:32.016119+02,6,94,DR
2019-06-07 15:18:33.98956+02,6,176,DR
2019-06-07 15:18:35.949093+02,6,142,DR
2019-06-07 15:18:37.920784+02,6,115,DR
2019-06-07 15:18:39.888562+02,6,132,DR
2019-06-07 15:18:41.8627+02,6,143,DR
2019-06-07 15:18:43.831363+02,6,162,DR
2019-06-07 15:18:45.805923+02,6,93,DR
2019-06-07 15:18:47.775064+02,6,144,DR
2019-06-07 15:18:49.746545+02,6,129,DR
2019-06-07 15:18:51.713866+02,6,162,DR
2019-06-07 15:18:53.694177+02,6,90,DR
2019-06-07 15:18:55.658+02,6,153,DR
2019-06-07 15:18:57.626588+02,6,132,DR
2019-06-07 15:18:59.597416+02,6,163,DR
2019-06-07 15:19:01.591201+02,6,105,DR
2019-06-07 15:19:03.538485+02,6,155,DR
2019-06-07 15:19:05.510153+02,6,134,DR
2019-06-07 15:19:07.483579+02,6,151,DR
2019-06-07 15:19:09.456169+02,6,149,DR
2019-06-07 15:19:11.422865+02,6,110,DR
2019-06-07 15:19:13.394032+02,6,153,DR
2019-06-07 15:19:15.366464+02,6,137,DR
2019-06-07 15:19:17.35439+02,6,153,DR
2019-06-07 15:19:19.307933+02,6,96,DR
2019-06-07 15:19:21.282123+02,6,165,DR
2019-06-07 15:19:23.255342+02,6,118,DR
2019-06-07 15:19:25.218483+02,6,165,DR
2019-06-07 15:19:27.18891+02,6,89,DR
2019-06-07 15:19:29.16199+02,6,159,DR
2019-06-07 15:19:31.132701+02,6,121,DR
2019-06-07 15:19:33.103975+02,6,129,DR
2019-06-07 15:19:35.072296+02,6,103,DR
2019-06-07 15:19:37.049273+02,6,148,DR
2019-06-07 15:19:39.014029+02,6,151,DR
2019-06-07 15:19:40.993232+02,6,130,DR
2019-06-07 15:19:42.95835+02,6,124,DR
2019-06-07 15:19:44.929117+02,6,138,DR
2019-06-07 15:19:46.898198+02,6,99,DR
2019-06-07 15:19:49.052006+02,6,41,DR
2019-06-07 15:19:50.872061+02,6,26,DR
2019-06-07 15:19:52.81265+02,6,22,DR
2019-06-07 15:19:54.783492+02,6,21,DR
2019-06-07 15:19:58.722883+02,6,23,DR
2019-06-07 15:20:04.635278+02,6,22,DR
2019-06-07 15:20:12.519365+02,6,24,DR
2019-06-07 15:20:14.492978+02,6,25,DR
2019-06-07 15:20:16.461541+02,6,24,DR
2019-06-07 15:20:18.431806+02,6,23,DR
2019-06-07 15:20:24.34649+02,6,22,DR
2019-06-07 15:20:26.317651+02,6,21,DR
2019-06-07 15:20:32.239522+02,6,20,DR
2019-06-07 15:20:34.198642+02,6,21,DR
2019-06-07 15:20:42.084582+02,6,20,DR
2019-06-07 15:20:47.994205+02,6,19,DR
2019-06-07 15:20:49.967229+02,6,58,DR
2019-06-07 15:20:51.936634+02,6,23,DR
2019-06-07 15:20:53.914154+02,6,9,DR
2019-06-07 15:20:55.883765+02,6,3,DR
2019-06-07 15:20:57.856104+02,6,1,DR
2019-06-07 15:20:59.826902+02,6,0,DR
2019-06-07 16:06:47.191487+02,6,1,DR
2019-06-07 16:06:51.131319+02,6,2,DR
2019-06-07 16:06:53.103794+02,6,1,DR
2019-06-07 16:06:57.046264+02,6,0,DR
2019-06-07 16:45:17.032237+02,6,2,DR
2019-06-07 16:45:19.002219+02,6,0,DR
2019-06-07 16:45:40.682325+02,6,110,DR
2019-06-07 16:45:42.65471+02,6,57,DR
2019-06-07 16:45:44.639112+02,6,41,DR
2019-06-07 16:45:46.603656+02,6,21,DR
2019-06-07 16:45:48.599824+02,6,13,DR
2019-06-07 16:45:50.547445+02,6,15,DR
2019-06-07 16:45:52.509086+02,6,17,DR
2019-06-07 16:45:54.480988+02,6,18,DR
2019-06-07 16:46:00.390045+02,6,19,DR
2019-06-07 16:46:02.369637+02,6,22,DR
2019-06-07 16:46:04.334389+02,6,20,DR
2019-06-07 16:46:06.30528+02,6,17,DR
2019-06-07 16:46:08.27608+02,6,13,DR
2019-06-07 16:46:12.217906+02,6,14,DR
2019-06-07 16:46:14.189141+02,6,11,DR
2019-06-07 16:46:16.157237+02,6,10,DR
2019-06-07 16:46:27.983022+02,6,11,DR
2019-06-07 16:46:29.964262+02,6,10,DR
2019-06-07 16:46:37.836328+02,6,11,DR
2019-06-07 16:46:43.749452+02,6,10,DR
2019-06-07 16:46:45.720738+02,6,11,DR
2019-06-07 16:46:47.690837+02,6,14,DR
2019-06-07 16:46:49.662656+02,6,15,DR
2019-06-07 16:46:51.635564+02,6,12,DR
2019-06-07 16:46:53.605446+02,6,11,DR
2019-06-07 16:46:57.545584+02,6,10,DR
2019-06-07 16:47:03.46271+02,6,12,DR
2019-06-07 16:47:07.401977+02,6,11,DR
2019-06-07 16:47:11.341375+02,6,10,DR
2019-06-07 16:47:13.31147+02,6,12,DR
2019-06-07 16:47:15.284728+02,6,16,DR
2019-06-07 16:47:17.255639+02,6,13,DR
2019-06-07 16:47:19.226634+02,6,11,DR
2019-06-07 16:47:21.195431+02,6,10,DR
2019-06-07 16:47:23.167487+02,6,11,DR
2019-06-07 16:47:36.962388+02,6,12,DR
2019-06-07 16:47:38.938281+02,6,116,DR
2019-06-07 16:47:40.906757+02,6,114,DR
2019-06-07 16:47:42.875085+02,6,121,DR
2019-06-07 16:47:44.846331+02,6,107,DR
2019-06-07 16:47:46.817066+02,6,120,DR
2019-06-07 16:47:48.789848+02,6,101,DR
2019-06-07 16:47:50.762351+02,6,49,DR
2019-06-07 16:47:52.728817+02,6,86,DR
2019-06-07 16:47:54.706015+02,6,120,DR
2019-06-07 16:47:56.67839+02,6,106,DR
2019-06-07 16:47:58.643727+02,6,120,DR
2019-06-07 16:48:00.612869+02,6,111,DR
2019-06-07 16:48:04.55782+02,6,89,DR
2019-06-07 16:48:06.537451+02,6,36,DR
2019-06-07 16:48:08.495893+02,6,115,DR
2019-06-07 16:48:10.466275+02,6,116,DR
2019-06-07 16:48:12.439783+02,6,111,DR
2019-06-07 16:48:14.410677+02,6,109,DR
2019-06-07 16:48:16.381456+02,6,114,DR
2019-06-07 16:48:18.350241+02,6,100,DR
2019-06-07 16:48:20.323533+02,6,53,DR
2019-06-07 16:48:22.291994+02,6,28,DR
2019-06-07 16:48:24.26508+02,6,108,DR
2019-06-07 16:48:28.20732+02,6,117,DR
2019-06-07 16:48:30.175429+02,6,110,DR
2019-06-07 16:48:32.146197+02,6,114,DR
2019-06-07 16:48:34.119059+02,6,113,DR
2019-06-07 16:48:36.090073+02,6,43,DR
2019-06-07 16:48:38.061742+02,6,124,DR
2019-06-07 16:48:40.029478+02,6,112,DR
2019-06-07 16:48:42.002622+02,6,117,DR
2019-06-07 16:48:43.985829+02,6,113,DR
2019-06-07 16:48:45.948359+02,6,112,DR
2019-06-07 16:48:47.950178+02,6,111,DR
2019-06-07 16:48:49.88397+02,6,66,DR
2019-06-07 16:48:51.91974+02,6,30,DR
2019-06-07 16:48:53.828513+02,6,118,DR
2019-06-07 16:48:55.799694+02,6,109,DR
2019-06-07 16:48:57.769024+02,6,121,DR
2019-06-07 16:48:59.738158+02,6,110,DR
2019-06-07 16:49:01.708919+02,6,122,DR
2019-06-07 16:49:03.683467+02,6,99,DR
2019-06-07 16:49:05.650529+02,6,50,DR
2019-06-07 16:49:07.639482+02,6,102,DR
2019-06-07 16:49:09.599325+02,6,127,DR
2019-06-07 16:49:11.565085+02,6,99,DR
2019-06-07 16:49:13.553491+02,6,119,DR
2019-06-07 16:49:15.505346+02,6,102,DR
2019-06-07 16:49:17.481232+02,6,121,DR
2019-06-07 16:49:19.449723+02,6,72,DR
2019-06-07 16:49:21.433114+02,6,32,DR
2019-06-07 16:49:23.39512+02,6,109,DR
2019-06-07 16:49:25.369232+02,6,119,DR
2019-06-07 16:49:27.348026+02,6,107,DR
2019-06-07 16:49:29.303837+02,6,119,DR
2019-06-07 16:49:31.27442+02,6,112,DR
2019-06-07 16:49:33.243981+02,6,115,DR
2019-06-07 16:49:35.214138+02,6,53,DR
2019-06-07 16:49:37.184869+02,6,95,DR
2019-06-07 16:49:39.15828+02,6,107,DR
2019-06-07 16:49:41.143656+02,6,113,DR
2019-06-07 16:49:43.096764+02,6,109,DR
2019-06-07 16:49:45.069578+02,6,118,DR
2019-06-07 16:49:47.041024+02,6,112,DR
2019-06-07 16:49:49.013022+02,6,79,DR
2019-06-07 16:49:50.983322+02,6,34,DR
2019-06-07 16:49:52.958782+02,6,109,DR
2019-06-07 16:49:54.927565+02,6,124,DR
2019-06-07 16:49:56.89307+02,6,106,DR
2019-06-07 16:49:58.864622+02,6,116,DR
2019-06-07 16:50:00.837133+02,6,107,DR
2019-06-07 16:50:02.805602+02,6,119,DR
2019-06-07 16:50:04.783678+02,6,62,DR
2019-06-07 16:50:06.763378+02,6,100,DR
2019-06-07 16:50:08.724445+02,6,108,DR
2019-06-07 16:50:10.700334+02,6,120,DR
2019-06-07 16:50:12.659814+02,6,100,DR
2019-06-07 16:50:14.630604+02,6,99,DR
2019-06-07 16:50:16.60368+02,6,110,DR
2019-06-07 16:50:18.572464+02,6,103,DR
2019-06-07 16:50:20.544084+02,6,41,DR
2019-06-07 16:50:22.517027+02,6,123,DR
2019-06-07 16:50:24.486991+02,6,110,DR
2019-06-07 16:50:26.463883+02,6,116,DR
2019-06-07 16:50:28.42684+02,6,112,DR
2019-06-07 16:50:30.400182+02,6,120,DR
2019-06-07 16:50:32.368519+02,6,104,DR
2019-06-07 16:50:34.342191+02,6,70,DR
2019-06-07 16:50:36.320987+02,6,31,DR
2019-06-07 16:50:38.284185+02,6,115,DR
2019-06-07 16:50:40.261286+02,6,109,DR
2019-06-07 16:50:42.223067+02,6,122,DR
2019-06-07 16:50:44.193807+02,6,107,DR
2019-06-07 16:50:46.166879+02,6,118,DR
2019-06-07 16:50:48.138057+02,6,107,DR
2019-06-07 16:50:50.108074+02,6,43,DR
2019-06-07 16:50:52.077048+02,6,102,DR
2019-06-07 16:50:54.05006+02,6,120,DR
2019-06-07 16:50:56.018158+02,6,106,DR
2019-06-07 16:50:57.991943+02,6,123,DR
2019-06-07 16:50:59.962997+02,6,111,DR
2019-06-07 16:51:01.934147+02,6,117,DR
2019-06-07 16:51:03.904789+02,6,84,DR
2019-06-07 16:51:05.875189+02,6,35,DR
2019-06-07 16:51:07.845309+02,6,119,DR
2019-06-07 16:51:09.821509+02,6,111,DR
2019-06-07 16:51:11.785626+02,6,127,DR
2019-06-07 16:51:13.76294+02,6,101,DR
2019-06-07 16:51:15.728118+02,6,124,DR
2019-06-07 16:51:17.702225+02,6,102,DR
2019-06-07 16:51:19.670513+02,6,47,DR
2019-06-07 16:51:21.641837+02,6,95,DR
2019-06-07 16:51:23.613884+02,6,114,DR
2019-06-07 16:51:25.584015+02,6,111,DR
2019-06-07 16:51:27.554832+02,6,113,DR
2019-06-07 16:51:29.525816+02,6,112,DR
2019-06-07 16:51:31.494258+02,6,122,DR
2019-06-07 16:51:33.467575+02,6,106,DR
2019-06-07 16:51:35.436243+02,6,41,DR
2019-06-07 16:51:37.406732+02,6,113,DR
2019-06-07 16:51:39.377327+02,6,124,DR
2019-06-07 16:51:41.349594+02,6,102,DR
2019-06-07 16:51:43.321814+02,6,124,DR
2019-06-07 16:51:45.292033+02,6,105,DR
2019-06-07 16:51:47.260603+02,6,115,DR
2019-06-07 16:51:49.232463+02,6,53,DR
2019-06-07 16:51:51.212455+02,6,27,DR
2019-06-07 16:51:53.176354+02,6,103,DR
2019-06-07 16:51:55.145996+02,6,119,DR
2019-06-07 16:51:57.117692+02,6,107,DR
2019-06-07 16:51:59.088871+02,6,120,DR
